class,tau,n_samples,score_mean,score_std
Not MotM,1.0,15,0.2771929824561404,0.13516744059128577
Not MotM,1.5,15,0.10526315789473681,0.07190842642778665
Not MotM,2.0,15,0.07017543859649121,0.05321316101088807
Not MotM,2.5,15,0.02456140350877193,0.03253901226489721
Not MotM,3.0,15,0.010526315789473684,0.02105263157894737
MotM,1.0,11,0.3014354066985646,0.09002338623075014
MotM,1.5,11,0.13397129186602869,0.07891111245201264
MotM,2.0,11,0.057416267942583726,0.0652544578803151
MotM,2.5,11,0.014354066985645932,0.02344009323237491
MotM,3.0,11,0.0,0.0
